concept,required,status,schedule,selected_code,description,fallback_codes,notes,report_date
afs_securities,True,selected,RCB,RCON1773,AVAILABLE-FOR-SALE SECURITIES,"RCON1773, RCFD1773, RCFD1773",,2021-03-31
htm_securities,True,selected,RCB,RCON1754,HELD-TO-MATURITY SECURITIES,RCFD1754,,2021-03-31
total_assets,True,selected,RC,RCON2170,TOTAL ASSETS,RCFD2170,,2021-03-31
total_deposits,True,selected,RC,RCON2200,TOTAL DEPOSITS,RCFN2200,,2021-03-31
uninsured_deposits,True,selected,RCO,RCON5597,ESTIMATE OF UNINSURED DEPOSITS,,,2021-03-31
afs_amortized_cost,False,selected,RCB,RCON1772,TOTL SECS-AVL-FOR-SALE-AMRTZ COST,RCFD1772,,2021-03-31
brokered_deposits,False,selected,RCE,RCON2365,TOTAL BROKERED DEPOSITS,,,2021-03-31
demand_deposits,False,selected,RCE,RCON2210,TOTAL DEMAND DEPOSITS,,,2021-03-31
deposit_listing_service_not_brokered,False,selected,RCE,RCONK223,EST DEP LISTING SERVICE NOT BROKERED,,,2021-03-31
fed_funds_purchased,False,selected,RC,RCONB993,FEDERAL FNDS PURCD IN DOMESTIC OFFCS,,,2021-03-31
fhlb_advances_1_3y,False,selected,RCM,RCONF056,FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS,RCFDF056,,2021-03-31
fhlb_advances_3_5y,False,selected,RCM,RCONF057,FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS,RCFDF057,,2021-03-31
fhlb_advances_gt_5y,False,selected,RCM,RCONF058,FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y,RCFDF058,,2021-03-31
fhlb_advances_le_1y,False,selected,RCM,RCON2651,FHLB ADVANCES MATURING <= 1 YEAR,RCFD2651,,2021-03-31
htm_fair_value,False,selected,RCB,RCON1771,TOTL SECS-HELD-TO-MATRTY-FAIR VALUE,RCFD1771,,2021-03-31
large_time_deposits_gt_250k,False,selected,RCE,RCONJ474,TIME DEPOSITS GT 250K,,,2021-03-31
nontransaction_accounts,False,selected,RCE,RCON2385,TOTAL NONTRANSACTION ACCOUNTS,,,2021-03-31
other_borrowed_money,False,selected,RC,RCON3190,OTHER BORROWED MONEY,"RCON3190, RCFD3190, RCFD3190",,2021-03-31
reciprocal_brokered_deposits,False,selected,RCO,RCONG803,RECIPROCAL BROKERED DEPOSITS,,,2021-03-31
